customer_id,tenure_months,monthly_charge,contract_type,payment_method,autopay,support_tickets_90d,weekly_usage_hours,num_products,late_payments_12m,discount_active,satisfaction_score,region,churn
CUST-00001,7,45.23,Two-Year,Bank Transfer,Yes,1,10.5,2,1,Yes,5,Northeast,0
CUST-00002,56,43.75,Annual,Debit Card,No,1,9.8,2,1,No,2,South,0
CUST-00003,48,65.84,Monthly,Credit Card,No,1,8.3,3,1,No,5,South,0
CUST-00004,32,66.74,Monthly,PayPal,No,3,7.0,1,0,No,1,South,0
CUST-00005,32,42.37,Monthly,Credit Card,Yes,2,4.4,1,0,No,4,Northeast,1
CUST-00006,62,44.74,Two-Year,PayPal,Yes,2,10.4,1,1,Yes,1,Midwest,0
CUST-00007,7,61.74,Annual,Debit Card,No,0,7.7,4,1,Yes,5,South,0
CUST-00008,51,37.1,Monthly,Debit Card,No,0,19.7,2,0,Yes,4,West,0
CUST-00009,15,44.61,Monthly,PayPal,No,2,11.9,1,0,Yes,3,South,0
CUST-00010,7,53.61,Two-Year,Debit Card,No,3,5.7,1,0,No,4,West,0
CUST-00011,38,69.93,Monthly,Debit Card,Yes,1,8.8,1,0,No,5,West,0
CUST-00012,71,41.12,Annual,Credit Card,No,4,3.5,2,0,Yes,3,South,0
CUST-00013,53,18.84,Annual,Debit Card,Yes,0,2.2,2,0,No,3,West,0
CUST-00014,55,17.5,Monthly,Bank Transfer,Yes,3,5.6,2,2,No,1,Midwest,0
CUST-00015,52,29.33,Monthly,Credit Card,Yes,1,3.1,1,1,Yes,3,South,0
CUST-00016,57,28.36,Monthly,Debit Card,Yes,1,11.2,2,0,No,5,South,0
CUST-00017,37,49.22,Monthly,Credit Card,Yes,1,18.8,2,0,No,4,South,0
CUST-00018,10,30.6,Annual,Debit Card,No,1,13.9,1,1,No,2,Northeast,0
CUST-00019,61,39.35,Annual,Credit Card,Yes,2,6.2,1,3,No,5,Northeast,0
CUST-00020,33,38.07,Monthly,PayPal,No,2,11.5,1,0,No,5,West,1
CUST-00021,37,44.07,Monthly,Credit Card,Yes,0,5.4,2,1,No,5,Northeast,1
CUST-00022,27,75.81,Monthly,PayPal,No,2,14.9,2,1,No,1,Midwest,1
CUST-00023,14,63.92,Monthly,Credit Card,Yes,1,10.5,2,0,Yes,3,West,0
CUST-00024,67,52.29,Annual,Debit Card,No,3,7.6,2,1,No,5,South,0
CUST-00025,57,43.7,Annual,Credit Card,No,0,7.3,1,0,Yes,2,West,0
CUST-00026,47,44.2,Annual,PayPal,Yes,2,10.5,3,1,No,3,West,0
CUST-00027,29,57.9,Monthly,Bank Transfer,Yes,0,7.4,3,0,No,5,South,0
CUST-00028,60,62.52,Monthly,Credit Card,Yes,0,13.5,1,0,Yes,2,South,0
CUST-00029,40,35.66,Monthly,Bank Transfer,Yes,2,6.1,3,1,No,4,South,0
CUST-00030,32,52.66,Two-Year,Debit Card,Yes,0,6.9,2,2,Yes,5,West,0
CUST-00031,33,15.43,Annual,PayPal,Yes,3,7.1,2,3,Yes,4,Midwest,0
CUST-00032,17,55.81,Two-Year,PayPal,No,1,6.6,2,1,No,5,Northeast,0
CUST-00033,7,65.72,Monthly,Credit Card,Yes,1,4.5,3,1,No,5,South,1
CUST-00034,40,46.96,Monthly,Debit Card,Yes,1,5.8,1,2,Yes,5,Midwest,0
