feature,importance_mean,importance_std
tenure,0.15911323965990293,0.009893734517518711
InternetService,0.041685662537357476,0.005190735482080567
Contract,0.04071128813929557,0.004572961173106481
MonthlyCharges,0.034905791513458656,0.001810302876968759
TotalCharges,0.012351728782819177,0.0035117050913580214
StreamingMovies,0.005444850884828392,0.0013534373714336116
StreamingTV,0.004614858894121818,0.001204892291655521
TechSupport,0.004561387759019611,0.0005809453873019636
PaymentMethod,0.004234045123432506,0.0013884479887441943
OnlineSecurity,0.004114588332246719,0.0013540366087395914
MultipleLines,0.002406718208565986,0.0009999953434286395
PaperlessBilling,0.002044314229072433,0.0012522128585040907
OnlineBackup,0.0016561572270634983,0.0003731201135376337
DeviceProtection,0.0015429059834717457,0.0004128050309696094
SeniorCitizen,0.0010723186242549837,0.0006739614506681739
Dependents,0.0002952806396844393,0.0007306977687676049
Partner,1.3445353120519754e-05,5.061696783140792e-05
gender,-4.633475536901244e-05,6.613171710175242e-05
PhoneService,-0.00034244280139927863,0.00010125628136681523
